date,value,satellite_flag
2023-12-08 01:00,0.0000,11000000000000000000000000000000
2023-12-08 02:00,0.0000,01000000000000100000000000000000
2023-12-08 03:00,0.0000,11000000000000000000000000000000
2023-12-08 04:00,0.0000,11000000000000000000000000000000
2023-12-08 05:00,0.0000,11000000000000000000000000000000
2023-12-08 06:00,0.0000,01000000000000010000000000000000
2023-12-08 07:00,2.4121,11000000000000000000000000000000
2023-12-08 08:00,1.9827,01000000000000000010000000000000
2023-12-08 09:00,3.8909,11000000000000000000000000000000
2023-12-08 10:00,0.7962,01000000000001000000000000100000
2023-12-08 11:00,1.6245,11000000000000000000000000000000
2023-12-08 12:00,0.5326,11000000000000000000000000000000
2023-12-08 13:00,0.0000,01000000000000100000000000000000
2023-12-08 14:00,0.0000,11000000000000000000000000000000
2023-12-08 15:00,0.0000,11000000000000000000000000000000
2023-12-08 16:00,0.0000,11000000000000000000000000000000
2023-12-08 17:00,0.0000,11000000000000000000000000000000
2023-12-08 18:00,0.0000,01000000000000010000000000000000
2023-12-08 19:00,0.0000,11000000000000000000000000000000
2023-12-08 20:00,0.0000,11000000000000000000000000000000
2023-12-08 21:00,0.0000,11000000000000000000000000000000
2023-12-08 22:00,0.0000,11000000000000000000000000000000
2023-12-08 23:00,0.0000,11000000000000000000000000000000
2023-12-09 00:00,0.0000,11000000000000000000000000000000
2023-12-09 01:00,0.0000,11000000000000000000000000000000
2023-12-09 02:00,0.0000,01000000000000100000000000000000
2023-12-09 03:00,0.0000,11000000000000000000000000000000
2023-12-09 04:00,0.0000,11000000000000000000000000000000
2023-12-09 05:00,0.0000,11000000000000000000000000000000
2023-12-09 06:00,0.0578,11000000000000000000000000000000
2023-12-09 07:00,0.0621,11000000000000000000000000000000
2023-12-09 08:00,1.5761,01000000000000000010000000000000
2023-12-09 09:00,2.6662,11000000000000000000000000000000
2023-12-09 10:00,2.6511,01000000000000000000000000100000
2023-12-09 11:00,3.7854,11000000000000000000000000000000
2023-12-09 12:00,5.0843,11000000000000000000000000000000
2023-12-09 13:00,3.8863,11000000000000000000000000000000
2023-12-09 14:00,0.0000,11000000000000000000000000000000
2023-12-09 15:00,0.0000,11000000000000000000000000000000
2023-12-09 16:00,0.0000,11000000000000000000000000000000
2023-12-09 17:00,0.0000,01000000000000010000000000000000
2023-12-09 18:00,0.0000,11000000000000000000000000000000
2023-12-09 19:00,0.0000,11000000000000000000000000000000
2023-12-09 20:00,0.0000,11000000000000000000000000000000
2023-12-09 21:00,0.0000,11000000000000000000000000000000
2023-12-09 22:00,0.0000,11000000000000000000000000000000
2023-12-09 23:00,0.0000,11000000000000000000000000000000
2023-12-10 00:00,0.0000,11000000000000000000000000000000
2023-12-10 01:00,0.0000,11000000000000000000000000000000
2023-12-10 02:00,0.0000,01000000000000100000000000000000
2023-12-10 03:00,0.0000,11000000000000000000000000000000
2023-12-10 04:00,0.0000,11000000000000000000000000000000
2023-12-10 05:00,0.0000,11000000000000000000000000000000
2023-12-10 06:00,0.0000,01000000000000010000000000000000
2023-12-10 07:00,0.0000,11000000000000000000000000000000
2023-12-10 08:00,0.0000,11000000000000000000000000000000
2023-12-10 09:00,2.3069,11000000000000000000000000000000
2023-12-10 10:00,0.6268,01000000000000000000000000100000
2023-12-10 11:00,2.9730,11000000000000000000000000000000
2023-12-10 12:00,3.3897,11000000000000000000000000000000
2023-12-10 13:00,1.8541,11000000000000000000000000000000
2023-12-10 14:00,0.0000,01000000000000100000000000000000
2023-12-10 15:00,0.0000,11000000000000000000000000000000
2023-12-10 16:00,0.0000,11000000000000000000000000000000
2023-12-10 17:00,0.0000,11000000000000000000000000000000
